"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","All means of travel","Number","108427"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","On foot","Number","182"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Bicycle","Number","49"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Bus, minibus or coach","Number","846"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Train, DART or LUAS","Number","344"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Motorcycle or scooter","Number","9"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Motor car: Driver","Number","656"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Motor car: Passenger","Number","147"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Van","Number","2"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Other, incl. lorry","Number","6"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","Not stated","Number","12"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","Before 06:30","All means of travel","Number","2253"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","On foot","Number","384"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Bicycle","Number","87"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Bus, minibus or coach","Number","3304"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Train, DART or LUAS","Number","1045"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Motorcycle or scooter","Number","11"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Motor car: Driver","Number","2242"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Motor car: Passenger","Number","503"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Van","Number","8"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Other, incl. lorry","Number","6"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","Not stated","Number","34"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","06:30 - 07:00","All means of travel","Number","7624"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","07:01 - 07:30","On foot","Number","359"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","07:01 - 07:30","Bicycle","Number","119"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","07:01 - 07:30","Bus, minibus or coach","Number","3496"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","07:01 - 07:30","Train, DART or LUAS","Number","1008"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","07:01 - 07:30","Motorcycle or scooter","Number","5"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","07:01 - 07:30","Motor car: Driver","Number","2382"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","07:01 - 07:30","Motor car: Passenger","Number","726"
